record_id,region,all_regions,category,priority,yaw_deci,pitch_deci,yaw_deg,pitch_deg,roll,grid_type,geom,label,render_needed,roll0_reuse_source,roll0_reuse_label,source_p2_candidate
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,-60,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll-060,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,-45,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll-045,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,-30,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll-030,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,-15,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll-015,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,0,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll+000,NO,01_fullrun (roll+000 整数点复用),yaw055_pitch+060_roll+000,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,15,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll+015,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,30,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll+030,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,45,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll+045,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0600,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,600,55.0,+60.0,60,integer5,phase63(L1-G1),yaw0550_pitchp0600_roll+060,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0625,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,625,55.0,+62.5,-60,half2p5,phase63(L1-G1),yaw0550_pitchp0625_roll-060,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0625,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,625,55.0,+62.5,-45,half2p5,phase63(L1-G1),yaw0550_pitchp0625_roll-045,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
R3_low_info_connectivity__yaw0550_pitchp0625,R3_low_info_connectivity,R3_low_info_connectivity,low-info/ocs-hard,primary,550,625,55.0,+62.5,-30,half2p5,phase63(L1-G1),yaw0550_pitchp0625_roll-030,YES,21_pack (new render),,P2 R3 low-info yaw55~65 pitch+60~70 (mean_nc 最低=0.798)
