channel,mode,fold,manifest,n_samples_recomputed,n_samples_target,recomp_yaw_acc,target_yaw_acc,recomp_pitch_acc,target_pitch_acc,recomp_yaw_cmae,target_yaw_cmae,pass_yaw_acc,pass_pitch_acc,pass_yaw_cmae,gate_pass
C3,image_only,0,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold0.json,555,555,0.0,0.0,0.21801802515983582,0.21801802515983582,104.45945739746094,104.45945739746094,True,True,True,True
C3,image_only,1,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold1.json,555,555,0.0,0.0,0.15675675868988037,0.15675675868988037,72.13513374328613,72.13513374328613,True,True,True,True
C3,image_only,2,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold2.json,518,518,0.0,0.0,0.15830115973949432,0.15830115973949432,107.86679267883301,107.86679267883301,True,True,True,True
C3,image_only,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold3.json,518,518,0.0,0.0,0.24517375230789185,0.24517375230789185,73.44594478607178,73.44594478607178,True,True,True,True
C3,image_only,4,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold4.json,518,518,0.0,0.0,0.2818532884120941,0.2818532884120941,49.29536819458008,49.29536819458008,True,True,True,True
C3,joint,0,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold0.json,555,555,0.0,0.0,0.2702702581882477,0.2702702581882477,100.79278945922852,100.79278945922852,True,True,True,True
C3,joint,1,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold1.json,555,555,0.0,0.0,0.1387387365102768,0.1387387365102768,75.7567548751831,75.7567548751831,True,True,True,True
C3,joint,2,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold2.json,518,518,0.0,0.0,0.1814671754837036,0.1814671754837036,95.15443801879883,95.15443801879883,True,True,True,True
C3,joint,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold3.json,518,518,0.0,0.0,0.13513512909412384,0.13513512909412384,88.54247093200684,88.54247093200684,True,True,True,True
C3,joint,4,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold4.json,518,518,0.0,0.0,0.24517375230789185,0.24517375230789185,46.71814441680908,46.71814441680908,True,True,True,True
